location_name,latitude,longitude,parameter,value,unit,timestamp
Barcelona - Eixample,41.389,2.165,PM2.5,19.98,µg/m³,2026-06-14T15:07:24.406039
Barcelona - Eixample,41.389,2.165,PM10,57.54,µg/m³,2026-06-14T15:07:24.406039
Barcelona - Eixample,41.389,2.165,NO2,51.6,µg/m³,2026-06-14T15:07:24.406039
Barcelona - Eixample,41.389,2.165,O3,61.91,µg/m³,2026-06-14T15:07:24.406039
Barcelona - Eixample,41.389,2.165,CO,0.4,mg/m³,2026-06-14T15:07:24.406039
Barcelona - Eixample,41.389,2.165,SO2,3.18,µg/m³,2026-06-14T15:07:24.406039
Barcelona - Eixample,41.389,2.165,PM2.5,7.32,µg/m³,2026-06-14T14:07:24.406039
Barcelona - Eixample,41.389,2.165,PM10,53.31,µg/m³,2026-06-14T14:07:24.406039
Barcelona - Eixample,41.389,2.165,NO2,45.06,µg/m³,2026-06-14T14:07:24.406039
Barcelona - Eixample,41.389,2.165,O3,69.57,µg/m³,2026-06-14T14:07:24.406039
Barcelona - Eixample,41.389,2.165,CO,0.14,mg/m³,2026-06-14T14:07:24.406039
Barcelona - Eixample,41.389,2.165,SO2,14.58,µg/m³,2026-06-14T14:07:24.406039
Barcelona - Eixample,41.389,2.165,PM2.5,38.3,µg/m³,2026-06-14T13:07:24.406039
Barcelona - Eixample,41.389,2.165,PM10,20.62,µg/m³,2026-06-14T13:07:24.406039
Barcelona - Eixample,41.389,2.165,NO2,24.09,µg/m³,2026-06-14T13:07:24.406039
Barcelona - Eixample,41.389,2.165,O3,32.84,µg/m³,2026-06-14T13:07:24.406039
Barcelona - Eixample,41.389,2.165,CO,0.68,mg/m³,2026-06-14T13:07:24.406039
Barcelona - Eixample,41.389,2.165,SO2,8.35,µg/m³,2026-06-14T13:07:24.406039
Barcelona - Eixample,41.389,2.165,PM2.5,22.28,µg/m³,2026-06-14T12:07:24.406039
Barcelona - Eixample,41.389,2.165,PM10,24.56,µg/m³,2026-06-14T12:07:24.406039
Barcelona - Eixample,41.389,2.165,NO2,45.59,µg/m³,2026-06-14T12:07:24.406039
Barcelona - Eixample,41.389,2.165,O3,29.76,µg/m³,2026-06-14T12:07:24.406039
Barcelona - Eixample,41.389,2.165,CO,0.66,mg/m³,2026-06-14T12:07:24.406039
Barcelona - Eixample,41.389,2.165,SO2,6.13,µg/m³,2026-06-14T12:07:24.406039
Barcelona - Eixample,41.389,2.165,PM2.5,23.24,µg/m³,2026-06-14T11:07:24.406039
Barcelona - Eixample,41.389,2.165,PM10,49.26,µg/m³,2026-06-14T11:07:24.406039
Barcelona - Eixample,41.389,2.165,NO2,24.98,µg/m³,2026-06-14T11:07:24.406039
Barcelona - Eixample,41.389,2.165,O3,56.0,µg/m³,2026-06-14T11:07:24.406039
Barcelona - Eixample,41.389,2.165,CO,1.23,mg/m³,2026-06-14T11:07:24.406039
Barcelona - Eixample,41.389,2.165,SO2,1.65,µg/m³,2026-06-14T11:07:24.406039
Barcelona - Eixample,41.389,2.165,PM2.5,29.3,µg/m³,2026-06-14T10:07:24.406039
Barcelona - Eixample,41.389,2.165,PM10,18.53,µg/m³,2026-06-14T10:07:24.406039
Barcelona - Eixample,41.389,2.165,NO2,18.25,µg/m³,2026-06-14T10:07:24.406039
Barcelona - Eixample,41.389,2.165,O3,86.42,µg/m³,2026-06-14T10:07:24.406039
Barcelona - Eixample,41.389,2.165,CO,1.93,mg/m³,2026-06-14T10:07:24.406039
Barcelona - Eixample,41.389,2.165,SO2,12.32,µg/m³,2026-06-14T10:07:24.406039
Barcelona - Eixample,41.389,2.165,PM2.5,17.18,µg/m³,2026-06-14T09:07:24.406039
Barcelona - Eixample,41.389,2.165,PM10,14.88,µg/m³,2026-06-14T09:07:24.406039
Barcelona - Eixample,41.389,2.165,NO2,49.21,µg/m³,2026-06-14T09:07:24.406039
Barcelona - Eixample,41.389,2.165,O3,50.81,µg/m³,2026-06-14T09:07:24.406039
Barcelona - Eixample,41.389,2.165,CO,0.33,mg/m³,2026-06-14T09:07:24.406039
Barcelona - Eixample,41.389,2.165,SO2,7.93,µg/m³,2026-06-14T09:07:24.406039
Barcelona - Eixample,41.389,2.165,PM2.5,6.38,µg/m³,2026-06-14T08:07:24.406039
Barcelona - Eixample,41.389,2.165,PM10,55.47,µg/m³,2026-06-14T08:07:24.406039
Barcelona - Eixample,41.389,2.165,NO2,27.94,µg/m³,2026-06-14T08:07:24.406039
Barcelona - Eixample,41.389,2.165,O3,66.38,µg/m³,2026-06-14T08:07:24.406039
